Deal name masked,Serial #,Customer Name Code,Sector,Execution Status,Nature of Work,Type of Work,BD/KAM Personnel code,Probable Start Date,Probable End Date,Data Delivery Date,Date of PO/LOI,Document Type,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Amount Receivable (Masked),Invoice Status,WO Status (billed)
Stitch,SDPLDEAL-122,WOCOMPANY_044,Renewables,Completed,,Flood Risk,,,,,2025-04-01,,431620.0,509311.60000000003,431620.0,0.0,Fully Billed,Closed
Sasuke,SDPLDEAL-123,WOCOMPANY_002,Mining,Completed,,LiDAR Survey: LiDAR,,,,,2024-12-25,,371193.2,438007.976,371193.2,438007.976,Fully Billed,Closed
Alphonse,SDPLDEAL-124,WOCOMPANY_009,Renewables,,,Others,,,,,2025-07-24,,24664.0,29103.52,24664.0,29103.52,Fully Billed,Closed
Timon,SDPLDEAL-125,WOCOMPANY_046,Renewables,Completed,Proof of Concept,Others,OWNER_001,2025-09-11,2025-10-26,,2025-09-08,Purchase Order,277470.0,327414.60000000003,277470.0,327414.60000000003,Fully Billed,
Gohan,SDPLDEAL-126,WOCOMPANY_026,Construction,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-08-01,2025-09-05,,2025-09-10,Purchase Order,788298.4360000001,930192.1544799999,788298.4360000001,15766.955279999876,Fully Billed,Closed
Kaguya,SDPLDEAL-127,WOCOMPANY_014,Railways,Completed,One time Project,Others,OWNER_003,2025-09-15,2025-10-31,,2025-09-12,Purchase Order,5061052.800000001,5972042.3040000005,,0.0,,
Bugs Bunny,SDPLDEAL-128,WOCOMPANY_028,Railways,Ongoing,One time Project,Others,OWNER_003,2025-09-15,2025-10-31,,2025-09-12,Purchase Order,8789158.711280001,10371207.279310402,,0.0,,
Armin,SDPLDEAL-129,WOCOMPANY_020,Mining,Completed,Annual Rate Contract,Topography Survey: RGB,OWNER_001,2025-07-24,2025-12-31,2025-09-20,2025-09-10,Purchase Order,218478.6448,257804.800864,145653.49864,171871.1283952,Fully Billed,Closed
Armin,SDPLDEAL-130,WOCOMPANY_020,Mining,Completed,Annual Rate Contract,Topography Survey: RGB,OWNER_001,2025-07-24,2025-12-31,2025-09-20,2025-09-11,Purchase Order,484453.98760000005,571655.705368,322971.035104,381105.82142272,Fully Billed,Closed
Sakura,SDPLDEAL-131,WOCOMPANY_002,Mining,Pause / struck,One time Project,LiDAR Survey: LiDAR,OWNER_003,2025-09-15,2025-10-15,,2025-09-17,Purchase Order,1224740.2480000001,1445193.49264,,0.0,,
Sakura,SDPLDEAL-132,WOCOMPANY_002,Mining,Pause / struck,One time Project,LiDAR Survey: LiDAR,OWNER_003,2025-09-15,2025-10-15,,2025-09-17,Purchase Order,1219634.8,1439169.064,,0.0,,
Gojo,SDPLDEAL-134,WOCOMPANY_005,Mining,Completed,One time Project,"Topography Survey: RGB, Mine survey",OWNER_001,2025-09-27,2025-10-15,,2025-09-20,Purchase Order,192009.24000000002,226570.9032,58823.64000000001,69411.8952,Partially Billed,Open
Faye Valentine,SDPLDEAL-133,WOCOMPANY_010,Renewables,Completed,One time Project,Solar Inspection,OWNER_003,2025-09-11,2025-09-19,,2024-07-19,Purchase Order,57487090.490128,67834766.77835104,57487090.490128,10347676.288223037,Fully Billed,
Alias_160,SDPLDEAL-135,WOCOMPANY_051,Mining,Completed,One time Project,"Mine survey, Topography Survey: RGB",OWNER_001,2025-05-01,2025-05-27,,2025-07-25,Purchase Order,89407.0,105500.26000000001,89407.0,613.6403200000001,Fully Billed,Closed
Scooby-Doo,SDPLDEAL-136,WOCOMPANY_002,Mining,Ongoing,One time Project,Others,OWNER_003,2025-09-29,2025-10-10,,2025-09-27,Purchase Order,143051.2,168800.416,,0.0,,
Scooby-Doo,SDPLDEAL-137,WOCOMPANY_002,Mining,Ongoing,One time Project,Others,OWNER_003,2025-09-29,2025-10-30,,2025-09-27,Purchase Order,143051.2,168800.416,,0.0,,
Alias_160,SDPLDEAL-138,WOCOMPANY_051,Mining,Pause / struck,One time Project,Topography Survey: RGB,OWNER_001,2025-10-06,2025-10-30,,2025-09-19,Purchase Order,261901.71324000004,309044.02162320004,,0.0,Not billed yet,
Scooby-Doo,SDPLDEAL-139,WOCOMPANY_002,Mining,Ongoing,One time Project,LiDAR Survey: LiDAR,OWNER_003,2025-09-20,2025-10-20,,2025-10-03,Purchase Order,699730.012,825681.4141599999,,0.0,,
Trunks,SDPLDEAL-140,WOCOMPANY_015,Railways,Ongoing,One time Project,LiDAR Survey: LiDAR,OWNER_003,2025-09-29,2025-10-31,,2025-10-08,Purchase Order,3237150.0,3819837.0,,0.0,,
Scooby-Doo,SDPLDEAL-141,WOCOMPANY_002,Mining,Not Started,One time Project,LiDAR Survey: LiDAR,OWNER_003,2025-09-30,2025-10-30,,2025-10-09,Purchase Order,383192.23600000003,452166.83848000003,,0.0,,
Inuyasha,SDPLDEAL-142,WOCOMPANY_016,Renewables,Completed,One time Project,"Topography Survey: RGB, Hydrology, Flood Risk",OWNER_003,2025-10-17,2025-11-10,2026-01-08,2025-10-14,Purchase Order,419288.0,494759.84,,0.0,Stuck,
Patrick Star,SDPLDEAL-143,WOCOMPANY_030,Others,Completed,One time Project,Hydrology,OWNER_001,2025-10-08,2025-10-16,2025-11-05,2025-10-16,Purchase Order,246640.00000000003,291035.2,246640.00000000003,291035.2,Fully Billed,
Kaguya,SDPLDEAL-144,WOCOMPANY_014,Railways,Ongoing,One time Project,"Road/rail survey, LiDAR Survey: LiDAR",OWNER_003,2025-11-03,2025-12-01,,2025-10-27,Purchase Order,4628199.600000001,5461275.528,,0.0,,
Sakura,SDPLDEAL-145,WOCOMPANY_002,Mining,Not Started,One time Project,Raw images/videography,OWNER_003,2025-10-27,2025-11-03,,2025-10-27,Purchase Order,64373.04,75960.1872,,0.0,,
Scooby-Doo,SDPLDEAL-146,WOCOMPANY_002,Mining,Ongoing,One time Project,"LiDAR Survey: LiDAR, Mine survey",OWNER_003,2025-10-27,2025-11-03,,2025-10-27,Purchase Order,679308.2200000001,801583.6996,,0.0,,
Katara,SDPLDEAL-147,WOCOMPANY_037,Railways,Partial Completed,One time Project,"LiDAR Survey: LiDAR, Road/rail survey, Others",OWNER_003,2025-11-03,2025-11-11,2025-12-18,2025-10-28,Purchase Order,1850391.9360000002,2183462.48448,,0.0,,
Sakura,SDPLDEAL-149,WOCOMPANY_002,Renewables,Ongoing,Monthly Contract,Others,OWNER_003,2025-11-01,2026-04-01,,2025-10-30,Purchase Order,6011850.0,7093983.0,,0.0,,
Dolphin,SDPLDEAL-150,WOCOMPANY_029,Powerline,Ongoing,One time Project,LiDAR Survey: LiDAR,OWNER_002,2025-08-20,2025-12-16,,2025-08-12,LOA/LOI,5026523.2,5931297.376,,0.0,,
Yuji Itadori,SDPLDEAL-151,WOCOMPANY_006,Renewables,Completed,One time Project,"Hydrology, Topography Survey: RGB",OWNER_003,2025-11-10,2025-12-01,2025-12-17,2025-11-06,Purchase Order,339130.0,400173.4,339130.0,0.0,,
Ben Tennyson,SDPLDEAL-152,WOCOMPANY_033,Renewables,Completed,One time Project,"Topography Survey: RGB, Hydrology",OWNER_003,2025-11-07,2025-11-28,2026-01-09,2025-11-04,Email Confirmation,295968.0,349242.24000000005,,0.0,,
Megumi,SDPLDEAL-153,WOCOMPANY_007,Renewables,Completed,One time Project,Others,OWNER_003,2025-04-01,2025-04-10,,2025-04-01,Purchase Order,365779.45200000005,431619.75336000003,365779.45200000005,-0.24664000000000003,Fully Billed,Closed
Donkey,SDPLDEAL-154,WOCOMPANY_040,Railways,Ongoing,One time Project,"LiDAR Survey: LiDAR, Road/rail survey, Raw images/videography",OWNER_003,2025-11-13,2025-12-31,,2025-11-10,Purchase Order,1346654.4000000001,1589052.192,,0.0,,
Donkey,SDPLDEAL-155,WOCOMPANY_040,Railways,Ongoing,One time Project,"LiDAR Survey: LiDAR, Road/rail survey",OWNER_003,2025-11-13,2026-01-31,,2025-11-12,Purchase Order,9089917.200000001,10726102.296,,0.0,,
Golden fish,SDPLDEAL-156,WOCOMPANY_027,Mining,Not Started,Proof of Concept,"LiDAR Survey: LiDAR, Volumetric survey",OWNER_006,2025-12-01,2025-12-31,,2025-10-16,LOA/LOI,0.0,0.0,,0.0,,Open
Alphonse,SDPLDEAL-157,WOCOMPANY_009,Renewables,,One time Project,Others,OWNER_005,2025-11-14,2025-11-14,,2025-11-14,Purchase Order,277470.0,327414.60000000003,277470.0,5549.400000000001,Partially Billed,
Alphonse,SDPLDEAL-158,WOCOMPANY_009,Renewables,Completed,One time Project,"Hydrology, Topography Survey: RGB",OWNER_001,2025-10-16,2025-10-31,2025-11-01,2025-10-23,Purchase Order,477248.4,563153.1120000001,477248.4,47724.840000000004,Fully Billed,Closed
Timon,SDPLDEAL-159,WOCOMPANY_046,Renewables,Completed,One time Project,Others,OWNER_001,2025-11-03,2025-12-20,2025-12-05,2025-11-08,Purchase Order,277470.0,327414.60000000003,277470.0,327414.60000000003,Fully Billed,
Timon,SDPLDEAL-160,WOCOMPANY_046,Renewables,Completed,One time Project,"Powerline Inspection, Videography for construction monitoring, Others",OWNER_001,2025-11-03,2025-12-20,2025-12-04,2025-11-08,Purchase Order,277470.0,327414.60000000003,277470.0,327414.60000000003,Not billed yet,
Scooby-Doo,SDPLDEAL-161,WOCOMPANY_002,Mining,Completed,One time Project,LiDAR Survey: LiDAR,OWNER_003,2025-11-20,2025-11-30,2026-01-08,2025-11-21,Purchase Order,304452.416,359253.85088000004,,0.0,,
Whis,SDPLDEAL-162,WOCOMPANY_025,Railways,Partial Completed,One time Project,LiDAR Survey: LiDAR,OWNER_003,2025-12-01,2025-12-31,2026-01-09,2025-12-01,Purchase Order,924900.0,1091382.0,,0.0,,
Rengoku,SDPLDEAL-163,WOCOMPANY_002,Mining,Not Started,One time Project,"Topography Survey: RGB, LiDAR Survey: LiDAR",OWNER_003,2025-12-01,2025-12-31,,2025-12-01,Purchase Order,141818.0,167345.24000000002,,0.0,,
Alphonse,SDPLDEAL-164,WOCOMPANY_009,Renewables,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-11-27,2025-12-23,2025-11-28,2025-11-27,Purchase Order,511777.963004,603897.9963447199,511778.0123320001,51179.04775176,Fully Billed,Closed
Alphonse,SDPLDEAL-165,WOCOMPANY_009,Renewables,Completed,One time Project,"Topography Survey: RGB, Hydrology",OWNER_001,2025-11-25,2025-12-25,2025-12-19,2025-11-28,Purchase Order,709081.3676,836716.0137680001,,0.0,Fully Billed,
Alphonse,SDPLDEAL-166,WOCOMPANY_009,Renewables,Completed,One time Project,"Topography Survey: RGB, Hydrology",OWNER_001,2025-11-13,2025-12-03,2025-11-07,2025-11-28,Purchase Order,487112.76680000004,574793.0648239999,487116.02244800003,574796.90648864,Fully Billed,
Obito,SDPLDEAL-167,WOCOMPANY_023,Mining,Completed,One time Project,Mine survey,OWNER_003,2025-12-11,2025-12-31,2026-01-06,2025-12-05,Purchase Order,1.2332,1.455176,,0.0,,
Stewie Griffin,SDPLDEAL-168,WOCOMPANY_029,Powerline,Ongoing,One time Project,Thermography,OWNER_002,2025-12-22,2026-01-16,,2025-12-17,Purchase Order,608584.2000000001,718129.356,,0.0,,
Scooby-Doo,SDPLDEAL-169,WOCOMPANY_002,Mining,Not Started,One time Project,LiDAR Survey: LiDAR,OWNER_003,2025-12-13,2026-01-31,,2025-12-13,Purchase Order,680726.4,803257.152,,0.0,,
Sesshomaru,SDPLDEAL-170,WOCOMPANY_017,Renewables,Completed,One time Project,Hydrology,OWNER_003,2025-12-16,2026-01-31,2026-01-06,2025-12-20,Purchase Order,308300.0,363794.0,,0.0,,
Erwin,SDPLDEAL-171,WOCOMPANY_021,Mining,Ongoing,One time Project,"Topography Survey: RGB, Raw images/videography",OWNER_001,2025-12-22,2025-12-31,,2025-12-17,Purchase Order,425454.0,502035.72000000003,,0.0,Not billed yet,
Alias_160,SDPLDEAL-172,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-12-20,2025-12-31,2025-12-23,2025-12-12,Purchase Order,53644.200000000004,63300.156,,0.0,Not billed yet,
Alias_160,SDPLDEAL-173,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-12-20,2025-12-31,2025-12-23,2025-12-12,Purchase Order,51852.360400000005,61185.785272,,0.0,Not billed yet,
Octopus,SDPLDEAL-174,WOCOMPANY_002,Mining,Ongoing,One time Project,Others,OWNER_003,2025-12-20,2026-01-31,,2025-12-20,Purchase Order,43162.0,50931.16,,0.0,,
Ben Tennyson,SDPLDEAL-175,WOCOMPANY_033,Renewables,Ongoing,One time Project,"Hydrology, Topography Survey: RGB",OWNER_003,2025-12-25,2026-01-15,,2025-12-22,Email Confirmation,289802.0,341966.36000000004,,0.0,,
Ben Tennyson,SDPLDEAL-176,WOCOMPANY_033,Renewables,Ongoing,One time Project,"Hydrology, Topography Survey: RGB",OWNER_003,2025-12-25,2026-01-15,,2025-12-22,Email Confirmation,289802.0,341966.36000000004,,0.0,,
Alphonse,SDPLDEAL-177,WOCOMPANY_009,Renewables,Not Started,Monthly Contract,Surveillance- needs continues monitoring,OWNER_005,2025-11-01,2026-03-31,,2025-12-16,Purchase Order,462450.0,545691.0,184980.0,4365.528,,
Whale,SDPLDEAL-178,WOCOMPANY_004,Powerline,Completed,Proof of Concept,"Thermography, LiDAR Survey: LiDAR, Powerline Inspection",OWNER_002,,,,,,0.0,0.0,,0.0,,
Squirtle,SDPLDEAL-179,WOCOMPANY_049,Powerline,Ongoing,Proof of Concept,Powerline Inspection,OWNER_002,2025-12-24,2025-12-31,,2025-12-24,Purchase Order,55494.0,65482.920000000006,,0.0,,
Ben Tennyson,SDPLDEAL-180,WOCOMPANY_033,Renewables,Ongoing,One time Project,"Topography Survey: RGB, Hydrology",OWNER_003,2025-12-31,2026-01-31,,2025-12-29,Email Confirmation,295968.0,349242.24000000005,,0.0,,
Turtle,SDPLDEAL-181,WOCOMPANY_024,Mining,Details pending from Client,Proof of Concept,Mine survey,OWNER_004,2026-01-12,2026-02-12,,2026-01-01,Purchase Order,184980.0,218276.40000000002,,0.0,,Open
Bugs Bunny,SDPLDEAL-182,WOCOMPANY_028,Railways,Not Started,One time Project,LiDAR Survey: LiDAR,OWNER_003,2026-01-09,2026-03-31,,2026-01-12,Email Confirmation,8986062.028800001,10603553.193984,,0.0,,
Bulbasaur,SDPLDEAL-185,WOCOMPANY_050,Others,Not Started,One time Project,Others,OWNER_004,2026-01-12,2026-01-16,,2026-01-09,Email Confirmation,139072.89680000002,164106.01822400003,164106.01822400003,124084.53171232001,,
Timon,SDPLDEAL-186,WOCOMPANY_046,Renewables,Ongoing,One time Project,Others,OWNER_001,2026-01-13,2026-01-30,,2026-01-06,Purchase Order,209027.40000000002,246652.33200000002,,0.0,Not billed yet,
Ben Tennyson,SDPLDEAL-187,WOCOMPANY_033,Renewables,Not Started,One time Project,Others,OWNER_003,2026-01-19,2026-06-30,,2026-01-09,Purchase Order,610434.0,720312.12,,0.0,,
Ben Tennyson,SDPLDEAL-188,WOCOMPANY_033,Renewables,Not Started,One time Project,Others,OWNER_003,2026-01-19,2026-02-28,,2026-01-09,Purchase Order,215810.0,254655.80000000002,,0.0,,
,SDPLDEAL-189,WOCOMPANY_045,Railways,Ongoing,Proof of Concept,Others,OWNER_003,2026-01-17,2026-03-31,,2026-01-09,Purchase Order,1035854.087,1222307.82266,,0.0,,
